Cod_atv;Atividade de Divulgação - SCN 2010;Cod_CNAE;Classe Cnae 2.0 (4 dígitos)
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3050;Fabricação de veículos militares de combate
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3091;Fabricação de motocicletas
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3092;Fabricação de bicicletas e triciclos não-motorizados
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3099;Fabricação de equipamentos de transporte não especificados anteriormente
3180;Fabricação de móveis e de produtos de indústrias diversas;3101;Fabricação de móveis com predominância de madeira
3180;Fabricação de móveis e de produtos de indústrias diversas;3102;Fabricação de móveis com predominância de metal
3180;Fabricação de móveis e de produtos de indústrias diversas;3103;Fabricação de móveis de outros materiais, exceto madeira e metal
3180;Fabricação de móveis e de produtos de indústrias diversas;3104;Fabricação de colchões
3180;Fabricação de móveis e de produtos de indústrias diversas;3211;Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria
3180;Fabricação de móveis e de produtos de indústrias diversas;3212;Fabricação de bijuterias e artefatos semelhantes
3180;Fabricação de móveis e de produtos de indústrias diversas;3220;Fabricação de instrumentos musicais
3180;Fabricação de móveis e de produtos de indústrias diversas;3230;Fabricação de artefatos para pesca e esporte
3180;Fabricação de móveis e de produtos de indústrias diversas;3240;Fabricação de brinquedos e jogos recreativos
3180;Fabricação de móveis e de produtos de indústrias diversas;3250;Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos
3180;Fabricação de móveis e de produtos de indústrias diversas;3291;Fabricação de escovas, pincéis e vassouras
3180;Fabricação de móveis e de produtos de indústrias diversas;3292;Fabricação de equipamentos e acessórios para segurança e proteção pessoal e profissional
3180;Fabricação de móveis e de produtos de indústrias diversas;3299;Fabricação de produtos diversos não especificados anteriormente
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3311;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3312;Manutenção e reparação de equipamentos eletrônicos e ópticos
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3313;Manutenção e reparação de máquinas e equipamentos elétricos
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3314;Manutenção e reparação de máquinas e equipamentos da indústria mecânica
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3315;Manutenção e reparação de veículos ferroviários
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3316;Manutenção e reparação de aeronaves
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3317;Manutenção e reparação de embarcações
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3319;Manutenção e reparação de equipamentos e produtos não especificados anteriormente
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3321;Instalação de máquinas e equipamentos industriais
3300;Manutenção, reparação e instalação de máquinas e equipamentos;3329;Instalação de equipamentos não especificados anteriormente
3500;Energia elétrica, gás natural e outras utilidades;3511;Geração de energia elétrica
3500;Energia elétrica, gás natural e outras utilidades;3512;Transmissão de energia elétrica
3500;Energia elétrica, gás natural e outras utilidades;3513;Comércio atacadista de energia elétrica
3500;Energia elétrica, gás natural e outras utilidades;3514;Distribuição de energia elétrica
3500;Energia elétrica, gás natural e outras utilidades;3520;"Produção de gás; processamento de gás natural; distribuição de combustíveis gasosos por redes urbanas"
3500;Energia elétrica, gás natural e outras utilidades;3530;Produção e distribuição de vapor, água quente e ar condicionado
3680;Água, esgoto e gestão de resíduos;3600;Captação, tratamento e distribuição de água
3680;Água, esgoto e gestão de resíduos;3701;Gestão de redes de esgoto
3680;Água, esgoto e gestão de resíduos;3702;Atividades relacionadas a esgoto, exceto a gestão de redes
3680;Água, esgoto e gestão de resíduos;3811;Coleta de resíduos não-perigosos
3680;Água, esgoto e gestão de resíduos;3812;Coleta de resíduos perigosos
3680;Água, esgoto e gestão de resíduos;3821;Tratamento e disposição de resíduos não-perigosos
3680;Água, esgoto e gestão de resíduos;3822;Tratamento e disposição de resíduos perigosos
3680;Água, esgoto e gestão de resíduos;3831;Recuperação de materiais metálicos
3680;Água, esgoto e gestão de resíduos;3832;Recuperação de materiais plásticos
3680;Água, esgoto e gestão de resíduos;3839;Recuperação de materiais não especificados anteriormente
3680;Água, esgoto e gestão de resíduos;3900;Descontaminação e outros serviços de gestão de resíduos
4180;Construção;4110;Incorporação de empreendimentos imobiliários
4180;Construção;4120;Construção de edifícios
4180;Construção;4211;Construção de rodovias e ferrovias
4180;Construção;4212;Construção de obras-de-arte especiais
4180;Construção;4213;Obras de urbanização - ruas, praças e calçadas
4180;Construção;4221;Obras para geração e distribuição de energia elétrica e para telecomunicações
4180;Construção;4222;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas
4180;Construção;4223;Construção de redes de transportes por dutos, exceto para água e esgoto
4180;Construção;4291;Obras portuárias, marítimas e fluviais
4180;Construção;4292;Montagem de instalações industriais e de estruturas metálicas
4180;Construção;4299;Obras de engenharia civil não especificadas anteriormente
4180;Construção;4311;Demolição e preparação de canteiros de obras
4180;Construção;4312;Perfurações e sondagens
4180;Construção;4313;Obras de terraplenagem
4180;Construção;4319;Serviços de preparação do terreno não especificados anteriormente
4180;Construção;4321;Instalações elétricas
4180;Construção;4322;Instalações hidráulicas, de sistemas de ventilação e refrigeração
4180;Construção;4329;Obras de instalações em construções não especificadas anteriormente
4180;Construção;4330;Obras de acabamento
4180;Construção;4391;Obras de fundações
4180;Construção;4399;Serviços especializados para construção não especificados anteriormente
4500;Comércio e reparação de veículos automotores e motocicletas;4511;Comércio a varejo e por atacado de veículos automotores
4500;Comércio e reparação de veículos automotores e motocicletas;4512;Representantes comerciais e agentes do comércio de veículos automotores
4500;Comércio e reparação de veículos automotores e motocicletas;4520;Manutenção e reparação de veículos automotores
4500;Comércio e reparação de veículos automotores e motocicletas;4530;Comércio de peças e acessórios para veículos automotores
4500;Comércio e reparação de veículos automotores e motocicletas;4541;Comércio por atacado e a varejo de motocicletas, peças e acessórios
4500;Comércio e reparação de veículos automotores e motocicletas;4542;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios
4500;Comércio e reparação de veículos automotores e motocicletas;4543;Manutenção e reparação de motocicletas
4680;Comércio por atacado e a varejo, exceto veículos automotores;4611;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos
4680;Comércio por atacado e a varejo, exceto veículos automotores;4612;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos
4680;Comércio por atacado e a varejo, exceto veículos automotores;4613;Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens
4680;Comércio por atacado e a varejo, exceto veículos automotores;4614;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves
4680;Comércio por atacado e a varejo, exceto veículos automotores;4615;Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico
4680;Comércio por atacado e a varejo, exceto veículos automotores;4616;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem
4680;Comércio por atacado e a varejo, exceto veículos automotores;4617;Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo
4680;Comércio por atacado e a varejo, exceto veículos automotores;4618;Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente
4680;Comércio por atacado e a varejo, exceto veículos automotores;4619;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
4680;Comércio por atacado e a varejo, exceto veículos automotores;4621;Comércio atacadista de café em grão
4680;Comércio por atacado e a varejo, exceto veículos automotores;4622;Comércio atacadista de soja
4680;Comércio por atacado e a varejo, exceto veículos automotores;4623;Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja
4680;Comércio por atacado e a varejo, exceto veículos automotores;4631;Comércio atacadista de leite e laticínios
4680;Comércio por atacado e a varejo, exceto veículos automotores;4632;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas
4680;Comércio por atacado e a varejo, exceto veículos automotores;4633;Comércio atacadista de hortifrutigranjeiros
4680;Comércio por atacado e a varejo, exceto veículos automotores;4634;Comércio atacadista de carnes, produtos da carne e pescado
4680;Comércio por atacado e a varejo, exceto veículos automotores;4635;Comércio atacadista de bebidas
4680;Comércio por atacado e a varejo, exceto veículos automotores;4636;Comércio atacadista de produtos do fumo
4680;Comércio por atacado e a varejo, exceto veículos automotores;4637;Comércio atacadista especializado em produtos alimentícios não especificados anteriormente
4680;Comércio por atacado e a varejo, exceto veículos automotores;4639;Comércio atacadista de produtos alimentícios em geral
4680;Comércio por atacado e a varejo, exceto veículos automotores;4641;Comércio atacadista de tecidos, artefatos de tecidos e de armarinho
4680;Comércio por atacado e a varejo, exceto veículos automotores;4642;Comércio atacadista de artigos do vestuário e acessórios
4680;Comércio por atacado e a varejo, exceto veículos automotores;4643;Comércio atacadista de calçados e artigos de viagem
4680;Comércio por atacado e a varejo, exceto veículos automotores;4644;Comércio atacadista de produtos farmacêuticos para uso humano e veterinário
4680;Comércio por atacado e a varejo, exceto veículos automotores;4645;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico
4680;Comércio por atacado e a varejo, exceto veículos automotores;4646;Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal
4680;Comércio por atacado e a varejo, exceto veículos automotores;4647;"Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações"
4680;Comércio por atacado e a varejo, exceto veículos automotores;4649;Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
4680;Comércio por atacado e a varejo, exceto veículos automotores;4651;Comércio atacadista de computadores, periféricos e suprimentos de informática
4680;Comércio por atacado e a varejo, exceto veículos automotores;4652;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
4680;Comércio por atacado e a varejo, exceto veículos automotores;4661;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
4680;Comércio por atacado e a varejo, exceto veículos automotores;4662;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
4680;Comércio por atacado e a varejo, exceto veículos automotores;4663;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças"
4680;Comércio por atacado e a varejo, exceto veículos automotores;4664;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
4680;Comércio por atacado e a varejo, exceto veículos automotores;4665;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças"
4680;Comércio por atacado e a varejo, exceto veículos automotores;4669;"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças"
4680;Comércio por atacado e a varejo, exceto veículos automotores;4671;Comércio atacadista de madeira e produtos derivados
4680;Comércio por atacado e a varejo, exceto veículos automotores;4672;Comércio atacadista de ferragens e ferramentas
4680;Comércio por atacado e a varejo, exceto veículos automotores;4673;Comércio atacadista de material elétrico
4680;Comércio por atacado e a varejo, exceto veículos automotores;4674;Comércio atacadista de cimento
4680;Comércio por atacado e a varejo, exceto veículos automotores;4679;Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral
4680;Comércio por atacado e a varejo, exceto veículos automotores;4681;Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP
4680;Comércio por atacado e a varejo, exceto veículos automotores;4682;Comércio atacadista de gás liqüefeito de petróleo (GLP)
4680;Comércio por atacado e a varejo, exceto veículos automotores;4683;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo
4680;Comércio por atacado e a varejo, exceto veículos automotores;4684;Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos
4680;Comércio por atacado e a varejo, exceto veículos automotores;4685;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção
4680;Comércio por atacado e a varejo, exceto veículos automotores;4686;Comércio atacadista de papel e papelão em bruto e de embalagens
4680;Comércio por atacado e a varejo, exceto veículos automotores;4687;Comércio atacadista de resíduos e sucatas
4680;Comércio por atacado e a varejo, exceto veículos automotores;4689;Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente
4680;Comércio por atacado e a varejo, exceto veículos automotores;4691;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios
4680;Comércio por atacado e a varejo, exceto veículos automotores;4692;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários
4680;Comércio por atacado e a varejo, exceto veículos automotores;4693;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários
4680;Comércio por atacado e a varejo, exceto veículos automotores;4711;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados
4680;Comércio por atacado e a varejo, exceto veículos automotores;4712;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns
4680;Comércio por atacado e a varejo, exceto veículos automotores;4713;Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios
4680;Comércio por atacado e a varejo, exceto veículos automotores;4721;Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes
4680;Comércio por atacado e a varejo, exceto veículos automotores;4722;Comércio varejista de carnes e pescados - açougues e peixarias
4680;Comércio por atacado e a varejo, exceto veículos automotores;4723;Comércio varejista de bebidas
4680;Comércio por atacado e a varejo, exceto veículos automotores;4724;Comércio varejista de hortifrutigranjeiros
4680;Comércio por atacado e a varejo, exceto veículos automotores;4729;"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo"
4680;Comércio por atacado e a varejo, exceto veículos automotores;4731;Comércio varejista de combustíveis para veículos automotores
4680;Comércio por atacado e a varejo, exceto veículos automotores;4732;Comércio varejista de lubrificantes
4680;Comércio por atacado e a varejo, exceto veículos automotores;4741;Comércio varejista de tintas e materiais para pintura
4680;Comércio por atacado e a varejo, exceto veículos automotores;4742;Comércio varejista de material elétrico
4680;Comércio por atacado e a varejo, exceto veículos automotores;4743;Comércio varejista de vidros
4680;Comércio por atacado e a varejo, exceto veículos automotores;4744;Comércio varejista de ferragens, madeira e materiais de construção
4680;Comércio por atacado e a varejo, exceto veículos automotores;4751;Comércio varejista especializado de equipamentos e suprimentos de informática
4680;Comércio por atacado e a varejo, exceto veículos automotores;4752;Comércio varejista especializado de equipamentos de telefonia e comunicação
4680;Comércio por atacado e a varejo, exceto veículos automotores;4753;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
4680;Comércio por atacado e a varejo, exceto veículos automotores;4754;Comércio varejista especializado de móveis, colchoaria e artigos de iluminação
4680;Comércio por atacado e a varejo, exceto veículos automotores;4755;Comércio varejista especializado de tecidos e artigos de cama, mesa e banho
4680;Comércio por atacado e a varejo, exceto veículos automotores;4756;Comércio varejista especializado de instrumentos musicais e acessórios
4680;Comércio por atacado e a varejo, exceto veículos automotores;4757;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação
4680;Comércio por atacado e a varejo, exceto veículos automotores;4759;Comércio varejista de artigos de uso doméstico não especificados anteriormente
4680;Comércio por atacado e a varejo, exceto veículos automotores;4761;Comércio varejista de livros, jornais, revistas e papelaria
4680;Comércio por atacado e a varejo, exceto veículos automotores;4762;Comércio varejista de discos, CDs, DVDs e fitas
4680;Comércio por atacado e a varejo, exceto veículos automotores;4763;Comércio varejista de artigos recreativos e esportivos
4680;Comércio por atacado e a varejo, exceto veículos automotores;4771;Comércio varejista de produtos farmacêuticos para uso humano e veterinário
4680;Comércio por atacado e a varejo, exceto veículos automotores;4772;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal
4680;Comércio por atacado e a varejo, exceto veículos automotores;4773;Comércio varejista de artigos médicos e ortopédicos
4680;Comércio por atacado e a varejo, exceto veículos automotores;4774;Comércio varejista de artigos de óptica
4680;Comércio por atacado e a varejo, exceto veículos automotores;4781;Comércio varejista de artigos do vestuário e acessórios
4680;Comércio por atacado e a varejo, exceto veículos automotores;4782;Comércio varejista de calçados e artigos de viagem
4680;Comércio por atacado e a varejo, exceto veículos automotores;4783;Comércio varejista de jóias e relógios
4680;Comércio por atacado e a varejo, exceto veículos automotores;4784;Comércio varejista de gás liqüefeito de petróleo (GLP)
4680;Comércio por atacado e a varejo, exceto veículos automotores;4785;Comércio varejista de artigos usados
4680;Comércio por atacado e a varejo, exceto veículos automotores;4789;Comércio varejista de outros produtos novos não especificados anteriormente
4680;Comércio por atacado e a varejo, exceto veículos automotores;4790;Comércio ambulante e outros tipos de comércio varejista
4900;Transporte terrestre;4911;Transporte ferroviário de carga
4900;Transporte terrestre;4912;Transporte metroferroviário de passageiros
4900;Transporte terrestre;4921;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana
4900;Transporte terrestre;4922;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional
4900;Transporte terrestre;4923;Transporte rodoviário de táxi
4900;Transporte terrestre;4924;Transporte escolar
4900;Transporte terrestre;4929;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente
4900;Transporte terrestre;4930;Transporte rodoviário de carga
4900;Transporte terrestre;4940;Transporte dutoviário
4900;Transporte terrestre;4950;Trens turísticos, teleféricos e similares
5000;Transporte aquaviário;5011;Transporte marítimo de cabotagem
5000;Transporte aquaviário;5012;Transporte marítimo de longo curso
5000;Transporte aquaviário;5021;Transporte por navegação interior de carga
5000;Transporte aquaviário;5022;Transporte por navegação interior de passageiros em linhas regulares
5000;Transporte aquaviário;5030;Navegação de apoio
5000;Transporte aquaviário;5091;Transporte por navegação de travessia
5000;Transporte aquaviário;5099;Transportes aquaviários não especificados anteriormente
5100;Transporte aéreo;5111;Transporte aéreo de passageiros regular
5100;Transporte aéreo;5112;Transporte aéreo de passageiros não-regular
5100;Transporte aéreo;5120;Transporte aéreo de carga
5100;Transporte aéreo;5130;Transporte espacial
5280;Armazenamento, atividades auxiliares dos transportes e correio;5211;Armazenamento
5280;Armazenamento, atividades auxiliares dos transportes e correio;5212;Carga e descarga
5280;Armazenamento, atividades auxiliares dos transportes e correio;5221;Concessionárias de rodovias, pontes, túneis e serviços relacionados
5280;Armazenamento, atividades auxiliares dos transportes e correio;5222;Terminais rodoviários e ferroviários
5280;Armazenamento, atividades auxiliares dos transportes e correio;5223;Estacionamento de veículos
5280;Armazenamento, atividades auxiliares dos transportes e correio;5229;Atividades auxiliares dos transportes terrestres não especificadas anteriormente
5280;Armazenamento, atividades auxiliares dos transportes e correio;5231;Gestão de portos e terminais
5280;Armazenamento, atividades auxiliares dos transportes e correio;5232;Atividades de agenciamento marítimo
5280;Armazenamento, atividades auxiliares dos transportes e correio;5239;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente
5280;Armazenamento, atividades auxiliares dos transportes e correio;5240;Atividades auxiliares dos transportes aéreos
5280;Armazenamento, atividades auxiliares dos transportes e correio;5250;Atividades relacionadas à organização do transporte de carga
5280;Armazenamento, atividades auxiliares dos transportes e correio;5310;Atividades de Correio
5280;Armazenamento, atividades auxiliares dos transportes e correio;5320;Atividades de malote e de entrega
5500;Alojamento;5510;Hotéis e similares
5500;Alojamento;5590;Outros tipos de alojamento não especificados anteriormente
5600;Alimentação;5611;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas
5600;Alimentação;5612;Serviços ambulantes de alimentação
5600;Alimentação;5620;Serviços de catering, bufê e outros serviços de comida preparada
5800;Edição e edição integrada à impressão;5811;Edição de livros
5800;Edição e edição integrada à impressão;5812;Edição de jornais
5800;Edição e edição integrada à impressão;5813;Edição de revistas
5800;Edição e edição integrada à impressão;5819;Edição de cadastros, listas e outros produtos gráficos
5800;Edição e edição integrada à impressão;5821;Edição integrada à impressão de livros
5800;Edição e edição integrada à impressão;5822;Edição integrada à impressão de jornais
5800;Edição e edição integrada à impressão;5823;Edição integrada à impressão de revistas
5800;Edição e edição integrada à impressão;5829;Edição integrada à impressão de cadastros, listas e outros produtos gráficos
5980;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;5911;Atividades de produção cinematográfica, de vídeos e de programas de televisão
5980;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;5912;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão
5980;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;5913;Distribuição cinematográfica, de vídeo e de programas de televisão
5980;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;5914;Atividades de exibição cinematográfica
5980;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;5920;Atividades de gravação de som e de edição de música
5980;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;6010;Atividades de rádio
5980;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;6021;Atividades de televisão aberta
5980;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;6022;Programadoras e atividades relacionadas à televisão por assinatura
6100;Telecomunicações;6110;Telecomunicações por fio
6100;Telecomunicações;6120;Telecomunicações sem fio
6100;Telecomunicações;6130;Telecomunicações por satélite
6100;Telecomunicações;6141;Operadoras de televisão por assinatura por cabo
6100;Telecomunicações;6142;Operadoras de televisão por assinatura por microondas
6100;Telecomunicações;6143;Operadoras de televisão por assinatura por satélite
6100;Telecomunicações;6190;Outras atividades de telecomunicações
6280;Desenvolvimento de sistemas e outros serviços de informação;6201;Desenvolvimento de programas de computador sob encomenda
6280;Desenvolvimento de sistemas e outros serviços de informação;6202;Desenvolvimento e licenciamento de programas de computador customizáveis
6280;Desenvolvimento de sistemas e outros serviços de informação;6203;Desenvolvimento e licenciamento de programas de computador não-customizáveis
6280;Desenvolvimento de sistemas e outros serviços de informação;6204;Consultoria em tecnologia da informação
6280;Desenvolvimento de sistemas e outros serviços de informação;6209;Suporte técnico, manutenção e outros serviços em tecnologia da informação
6280;Desenvolvimento de sistemas e outros serviços de informação;6311;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet
6280;Desenvolvimento de sistemas e outros serviços de informação;6319;Portais, provedores de conteúdo e outros serviços de informação na internet
6280;Desenvolvimento de sistemas e outros serviços de informação;6391;Agências de notícias
6280;Desenvolvimento de sistemas e outros serviços de informação;6399;Outras atividades de prestação de serviços de informação não especificadas anteriormente
6480;Intermediação financeira, seguros e previdência complementar;6410;Banco Central
6480;Intermediação financeira, seguros e previdência complementar;6421;Bancos comerciais
6480;Intermediação financeira, seguros e previdência complementar;6422;Bancos múltiplos, com carteira comercial
6480;Intermediação financeira, seguros e previdência complementar;6423;Caixas econômicas
6480;Intermediação financeira, seguros e previdência complementar;6424;Crédito cooperativo
6480;Intermediação financeira, seguros e previdência complementar;6431;Bancos múltiplos, sem carteira comercial
6480;Intermediação financeira, seguros e previdência complementar;6432;Bancos de investimento
6480;Intermediação financeira, seguros e previdência complementar;6433;Bancos de desenvolvimento
6480;Intermediação financeira, seguros e previdência complementar;6434;Agências de fomento
6480;Intermediação financeira, seguros e previdência complementar;6435;Crédito imobiliário
6480;Intermediação financeira, seguros e previdência complementar;6436;Sociedades de crédito, financiamento e investimento - financeiras
6480;Intermediação financeira, seguros e previdência complementar;6437;Sociedades de crédito ao microempreendedor
6480;Intermediação financeira, seguros e previdência complementar;6438;Bancos de câmbio e outras instituições de intermediação não-monetária
6480;Intermediação financeira, seguros e previdência complementar;6440;Arrendamento mercantil
6480;Intermediação financeira, seguros e previdência complementar;6450;Sociedades de capitalização
6480;Intermediação financeira, seguros e previdência complementar;6461;Holdings de instituições financeiras
6480;Intermediação financeira, seguros e previdência complementar;6462;Holdings de instituições não-financeiras
6480;Intermediação financeira, seguros e previdência complementar;6463;Outras sociedades de participação, exceto holdings
6480;Intermediação financeira, seguros e previdência complementar;6470;Fundos de investimento
6480;Intermediação financeira, seguros e previdência complementar;6491;Sociedades de fomento mercantil - factoring
6480;Intermediação financeira, seguros e previdência complementar;6492;Securitização de créditos
6480;Intermediação financeira, seguros e previdência complementar;6493;Administração de consórcios para aquisição de bens e direitos
6480;Intermediação financeira, seguros e previdência complementar;6499;Outras atividades de serviços financeiros não especificadas anteriormente
6480;Intermediação financeira, seguros e previdência complementar;6511;Seguros de vida
6480;Intermediação financeira, seguros e previdência complementar;6512;Seguros não-vida
6480;Intermediação financeira, seguros e previdência complementar;6520;Seguros-saúde
6480;Intermediação financeira, seguros e previdência complementar;6530;Resseguros
6480;Intermediação financeira, seguros e previdência complementar;6541;Previdência complementar fechada
6480;Intermediação financeira, seguros e previdência complementar;6542;Previdência complementar aberta
6480;Intermediação financeira, seguros e previdência complementar;6550;Planos de saúde
6480;Intermediação financeira, seguros e previdência complementar;6611;Administração de bolsas e mercados de balcão organizados
6480;Intermediação financeira, seguros e previdência complementar;6612;Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias
6480;Intermediação financeira, seguros e previdência complementar;6613;Administração de cartões de crédito
6480;Intermediação financeira, seguros e previdência complementar;6619;Atividades auxiliares dos serviços financeiros não especificadas anteriormente
6480;Intermediação financeira, seguros e previdência complementar;6621;Avaliação de riscos e perdas
6480;Intermediação financeira, seguros e previdência complementar;6622;Corretores e agentes de seguros, de planos de previdência complementar e de saúde
6480;Intermediação financeira, seguros e previdência complementar;6629;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente
6480;Intermediação financeira, seguros e previdência complementar;6630;Atividades de administração de fundos por contrato ou comissão
6800;Atividades imobiliárias;6810;Atividades imobiliárias de imóveis próprios
6800;Atividades imobiliárias;6821;Intermediação na compra, venda e aluguel de imóveis
6800;Atividades imobiliárias;6822;Gestão e administração da propriedade imobiliária
6980;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;6911;Atividades jurídicas, exceto cartórios
6980;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;6912;Cartórios
6980;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;6920;Atividades de contabilidade, consultoria e auditoria contábil e tributária
6980;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;7010;Sedes de empresas e unidades administrativas locais
6980;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;7020;Atividades de consultoria em gestão empresarial
7180;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;7111;Serviços de arquitetura
7180;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;7112;Serviços de engenharia
7180;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;7119;Atividades técnicas relacionadas à arquitetura e engenharia
7180;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;7120;Testes e análises técnicas
7180;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;7210;Pesquisa e desenvolvimento experimental em ciências físicas e naturais
7180;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;7220;Pesquisa e desenvolvimento experimental em ciências sociais e humanas
7380;Outras atividades profissionais, científicas e técnicas;7311;Agências de publicidade
7380;Outras atividades profissionais, científicas e técnicas;7312;Agenciamento de espaços para publicidade, exceto em veículos de comunicação
7380;Outras atividades profissionais, científicas e técnicas;7319;Atividades de publicidade não especificadas anteriormente
7380;Outras atividades profissionais, científicas e técnicas;7320;Pesquisas de mercado e de opinião pública
7380;Outras atividades profissionais, científicas e técnicas;7410;Design e decoração de interiores
7380;Outras atividades profissionais, científicas e técnicas;7420;Atividades fotográficas e similares
7380;Outras atividades profissionais, científicas e técnicas;7490;Atividades profissionais, científicas e técnicas não especificadas anteriormente
7380;Outras atividades profissionais, científicas e técnicas;7500;Atividades veterinárias
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7711;Locação de automóveis sem condutor
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7719;Locação de meios de transporte, exceto automóveis, sem condutor
